iter	Logloss
0	0.6616682288
1	0.6296840919
2	0.6022366751
3	0.5779073472
4	0.5571840551
5	0.5406118513
6	0.5246048423
7	0.5111414312
8	0.4989901307
9	0.4869380465
10	0.4772982494
11	0.468097538
12	0.4591850128
13	0.4523409489
14	0.4452937491
15	0.4390973296
16	0.433938447
17	0.4286990239
18	0.4249980052
19	0.4217772415
20	0.4178799762
21	0.4150020424
22	0.4119075263
23	0.4093301186
24	0.4068713221
25	0.4050756085
26	0.4032740571
27	0.4014294547
28	0.3993707601
29	0.3975547385
30	0.395534834
31	0.3940634406
32	0.3929440904
33	0.392340742
34	0.3912994146
35	0.3902210679
36	0.3893709793
37	0.3883082094
38	0.3874761602
39	0.3864255918
40	0.3856493482
41	0.3850242529
42	0.3845187649
43	0.3838798082
44	0.3833268425
45	0.3827758412
46	0.3823613521
47	0.3818305759
48	0.3813517042
49	0.3808945239
50	0.3804744737
51	0.3800206412
52	0.379640045
53	0.3794565531
54	0.379135387
55	0.3788445723
56	0.3783543845
57	0.3779776341
58	0.3775507223
59	0.3771742485
60	0.3766645274
61	0.376398918
62	0.3760555624
63	0.3757677358
64	0.3755246755
65	0.3752014067
66	0.3749983261
67	0.3746998475
68	0.3744586686
69	0.3742353076
70	0.3740553019
71	0.3738166684
72	0.3735731101
73	0.3732471851
74	0.3729034699
75	0.372642979
76	0.3724802655
77	0.372287671
78	0.3721543682
79	0.3720179944
80	0.371801495
81	0.3716597813
82	0.3715222177
83	0.3713173111
84	0.3710279351
85	0.3709329521
86	0.3708018074
87	0.3705836203
88	0.370359789
89	0.3702526322
90	0.3701275468
91	0.3699216164
92	0.3698165347
93	0.3695909603
94	0.3694488039
95	0.3692951931
96	0.3692070163
97	0.3690921679
98	0.3689960505
99	0.3688130013
100	0.3686896036
101	0.3686121342
102	0.3684600174
103	0.3683254973
104	0.3680889389
105	0.3680617692
106	0.3677703182
107	0.367633889
108	0.367463982
109	0.3672965927
110	0.3671325788
111	0.3670676705
112	0.3667678362
113	0.3666454622
114	0.3665382224
115	0.3663367465
116	0.3661934558
117	0.3660873226
118	0.3658965819
119	0.3658549144
120	0.3657557535
121	0.3657062008
122	0.3655940914
123	0.3654078051
124	0.3653940543
125	0.3652722613
126	0.3650691254
127	0.3648826731
128	0.3647533822
129	0.3646608339
130	0.3645679536
131	0.3643476361
132	0.3642638584
133	0.3640409678
134	0.3639577712
135	0.3638429504
136	0.3637975478
137	0.36364236
138	0.3635739932
139	0.3635503374
140	0.3635224484
141	0.3633873749
142	0.3632817675
143	0.3630708293
144	0.3629022503
145	0.36278007
146	0.3626917548
147	0.3626280085
148	0.3625440372
149	0.3625326658
150	0.362285649
151	0.3620746278
152	0.3619719532
153	0.3618201685
154	0.3617484539
155	0.361620242
156	0.3614921961
157	0.3613902685
158	0.3612995739
159	0.3610070715
160	0.3609638546
161	0.3608225283
162	0.3606050052
163	0.3604338531
164	0.360319143
165	0.3601613268
166	0.3599903683
167	0.3598641208
168	0.3596667952
169	0.3595715908
170	0.3594492167
171	0.3593193448
172	0.3590809603
173	0.3589833488
174	0.3588799548
175	0.3587297471
176	0.3586902931
177	0.358565844
178	0.3584603196
179	0.3583093648
180	0.3582427688
181	0.3581897853
182	0.3580292022
183	0.3578792435
184	0.3577220913
185	0.3575037105
186	0.3574361184
187	0.3573421591
188	0.3571732204
189	0.3570063845
190	0.3567644032
191	0.3566902816
192	0.356532825
193	0.3563515188
194	0.3562410419
195	0.3561057194
196	0.3559018365
197	0.3557600675
198	0.3556976769
199	0.3555382836
200	0.355409878
201	0.3551963114
202	0.3550667161
203	0.3548551969
204	0.3546078204
205	0.3544999719
206	0.3542659036
207	0.3541038265
208	0.3539412514
209	0.353779036
210	0.3536428834
211	0.3534546604
212	0.3533328951
213	0.3530868743
214	0.3529053745
215	0.352769139
216	0.3526566423
217	0.3524097639
218	0.3523212274
219	0.3521483323
220	0.3520353376
221	0.3519444217
222	0.3518034273
223	0.3517387957
224	0.3514930516
225	0.3513965745
226	0.351287564
227	0.35108227
228	0.350952813
229	0.3508679287
230	0.3507294244
231	0.3505613158
232	0.350446827
233	0.3503646818
234	0.3502773627
235	0.3501130168
236	0.3499275052
237	0.3497828587
238	0.3496580776
239	0.3494632697
240	0.3493194532
241	0.3491899963
242	0.3490666262
243	0.3489067349
244	0.3488406645
245	0.3486783108
246	0.3485706006
247	0.3484418077
248	0.3483366153
249	0.3480977881
250	0.3479518412
251	0.3477572547
252	0.3476495722
253	0.3474133457
254	0.3473049716
255	0.347223186
256	0.3470616899
257	0.3470014021
258	0.3468793047
259	0.3466844691
260	0.3465572809
