iter	Passed	Remaining
0	140	281250
1	143	143333
2	146	97202
3	148	74126
4	151	60249
5	153	51078
6	156	44567
7	160	39859
8	163	36169
9	166	33135
10	169	30599
11	171	28447
12	174	26649
13	176	25085
14	179	23723
15	181	22526
16	184	21482
17	186	20525
18	188	19662
19	190	18861
20	192	18142
21	194	17493
22	196	16893
23	198	16345
24	201	15903
25	203	15434
26	205	14995
27	207	14594
28	209	14207
29	211	13867
30	213	13542
31	215	13226
32	216	12920
33	218	12616
34	220	12356
35	221	12103
36	223	11870
37	225	11653
38	227	11436
39	229	11230
40	231	11038
41	232	10858
42	234	10685
43	236	10517
44	238	10358
45	240	10218
46	242	10065
47	243	9922
48	245	9785
49	247	9651
50	249	9523
51	250	9401
52	252	9281
53	254	9168
54	256	9056
55	257	8946
56	259	8843
57	261	8748
58	262	8650
59	264	8554
60	266	8472
61	268	8391
62	270	8307
63	271	8226
64	273	8148
65	275	8070
66	277	7995
67	278	7922
68	280	7856
69	282	7788
70	284	7724
71	286	7660
72	287	7598
73	289	7537
74	291	7477
75	293	7419
76	294	7365
77	296	7310
78	298	7257
79	300	7204
80	302	7157
81	303	7108
82	305	7060
83	307	7013
84	309	6970
85	311	6923
86	312	6879
87	314	6839
88	316	6800
89	318	6761
90	320	6721
91	322	6684
92	324	6646
93	325	6609
94	327	6572
95	329	6536
96	331	6499
97	333	6463
98	334	6429
99	336	6395
100	338	6360
101	339	6326
102	341	6295
103	343	6262
104	345	6233
105	347	6203
106	349	6175
107	350	6145
108	352	6114
109	354	6086
110	355	6057
111	357	6027
112	359	5998
113	360	5970
114	362	5949
115	364	5924
116	366	5898
117	368	5874
118	370	5849
119	371	5824
120	373	5799
121	375	5776
122	376	5752
123	378	5729
124	380	5702
125	382	5682
126	383	5660
127	385	5639
128	387	5617
129	389	5599
130	391	5579
131	392	5560
132	394	5539
133	396	5521
134	398	5501
135	399	5481
136	401	5458
137	403	5442
138	405	5423
139	406	5403
140	408	5386
141	410	5369
142	412	5351
143	413	5333
144	415	5317
145	417	5300
146	419	5283
147	420	5266
148	422	5250
149	424	5231
150	425	5214
151	427	5198
152	429	5182
153	431	5167
154	432	5150
155	434	5134
156	436	5121
157	438	5107
158	439	5093
159	441	5078
160	443	5065
161	445	5049
162	446	5034
163	448	5021
164	450	5008
165	452	4995
166	453	4981
167	455	4968
168	457	4955
169	459	4941
170	460	4928
171	462	4914
172	464	4901
173	465	4889
174	467	4877
175	469	4865
176	471	4853
177	472	4840
178	474	4827
179	476	4815
180	478	4805
181	479	4793
182	481	4783
183	483	4774
184	485	4764
185	487	4755
186	489	4743
187	491	4733
188	492	4722
189	494	4711
190	496	4700
191	498	4690
192	499	4678
193	501	4668
194	503	4659
195	505	4649
196	506	4639
197	508	4630
198	510	4620
199	512	4611
200	514	4603
201	516	4595
202	518	4586
203	519	4576
204	521	4566
205	523	4556
206	525	4547
207	526	4537
208	528	4530
209	530	4520
210	532	4511
211	533	4503
212	535	4494
213	537	4484
214	539	4475
215	540	4466
216	542	4458
217	544	4450
218	546	4441
219	547	4433
220	549	4426
221	551	4418
222	553	4410
223	555	4400
224	556	4392
225	558	4385
226	560	4377
227	562	4371
228	564	4364
229	566	4356
230	567	4347
231	569	4339
232	571	4332
233	573	4325
234	574	4317
235	576	4309
236	578	4301
237	579	4293
238	581	4285
239	583	4277
240	585	4270
241	586	4262
242	588	4255
243	590	4248
244	591	4240
245	593	4232
246	595	4225
247	597	4217
248	598	4209
249	600	4202
250	602	4195
251	603	4188
252	605	4181
253	607	4174
254	608	4167
255	610	4160
256	612	4154
257	614	4147
258	615	4140
259	617	4134
260	619	4128
