УчебныйПлан,Дисциплина,direction_cluster,direction_name,level,block,peer_freq,ВидКонтроля,n_students,semesters
886785,Общая фонетика,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,18,[2]
886785,Первый иностранный язык,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,20,"[1, 2]"
886785,Латинский язык,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,19,[2]
886785,Прикладная физическая культура (Адаптивная физическая культура),11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,0.5,Зачет,2,"[1, 2]"
886785,Прикладная физическая культура (ОФП),11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет,16,"[1, 2]"
886785,Математическая логика,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Зачет,19,[2]
886785,Практикум устной и письменной речи первого иностранного языка,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,20,"[1, 2]"
886785,Русский язык и культура речи,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет,18,[2]
886785,Прикладная физическая культура (Волейбол),11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет,2,"[1, 2]"
886785,Второй иностранный язык,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,20,"[1, 2]"
886785,Физическая культура и спорт,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет,20,[1]
886785,Правоведение,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет,19,[2]
886785,Математика,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет с оценкой,20,[1]
886785,"История (история России, всеобщая история)",11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.General,1.0,Зачет с оценкой,20,[1]
886785,Введение в теорию языка,11,45.03.02 Лингвистика (прикладная),Бакалавриат,Б1.О.Prof,1.0,Экзамен,20,[1]
466948,Прикладная физическая культура (Адаптивная физическая культура),12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.General,1.0,Зачет,16,"[5, 6]"
466948,Насильственные преступления и их предупреждение,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,16,[6]
466948,Право социального обеспечения,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Экзамен,145,[5]
466948,Антропология права,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,20,[6]
466948,Гражданский процесс,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,161,"[5, 6]"
466948,Судебная психиатрия,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,107,[6]
466948,"Производственная практика, научно-исследовательская работа",12,40.03.01 Юриспруденция,Бакалавриат,Б2,1.0,Зачет с оценкой,153,[6]
466948,Предпринимательское право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Экзамен,161,[5]
466948,Семейное право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет,152,[6]
466948,Уголовное право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,161,"[5, 6]"
466948,Конкурентное право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет,136,[6]
466948,Уголовно-исполнительное право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.В,0.5,Зачет,162,[5]
466948,Гражданское право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,160,"[5, 6]"
466948,Административный процесс,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,12,[6]
466948,Прикладная физическая культура (Легкая атлетика),12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.General,0.5,Зачет,16,[6]
466948,Уголовный процесс,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Зачет с оценкой,160,"[5, 6]"
466948,Юридическая клиника,12,40.03.01 Юриспруденция,Бакалавриат,Б1.В,0.5,Зачет,43,[6]
466948,Налоговое право,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Экзамен,158,[5]
466948,Прикладная физическая культура (ОФП),12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.General,1.0,Зачет,143,"[5, 6]"
466948,Криминалистика,12,40.03.01 Юриспруденция,Бакалавриат,Б1.О.Prof,1.0,Экзамен,162,"[5, 6]"
108565,Алгебра и теория чисел,3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.В,0.333,Экзамен,22,[6]
108565,Компьютерная графика,3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.В,0.333,Зачет с оценкой,23,"[5, 6]"
108565,Системы искусственного интеллекта,3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.В,0.333,Зачет с оценкой,23,[6]
108565,Базы данных,3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.О.Prof,0.667,Экзамен,21,[6]
108565,Параллельное программирование,3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.В,0.333,Зачет с оценкой,23,[6]
108565,Математическая логика,3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.В,0.333,Экзамен,23,[5]
108565,Прикладная физическая культура (ОФП),3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,Б1.О.General,1.0,Зачет,23,"[5, 6]"
