cluster_id,direction_name,level,n_plans,n_students,n_subjects,plans,plans_detail
12,40.03.01 Юриспруденция,Бакалавриат,8,702,93,"[287311, 371975, 466948, 494950, 538908, 545277, 608492, 930981]","287311(сем[3, 4],174ст); 371975(сем[7, 8],133ст); 466948(сем[5, 6],165ст); 494950(сем[5, 6],177ст); 538908(сем[7, 8],168ст); 545277(сем[1, 2],69ст); 608492(сем[3, 4],130ст); 930981(сем[1, 2],141ст)"
3,01.03.02 ПМИ / 02.03.01 МКН,Бакалавриат,22,431,104,"[101170, 106125, 108565, 109595, 109784, 241091, 285808, 286473, 355314, 391130, 399647, 509454, 512237, 545583, 681530, 740926, 798250, 816581, 865743, 922325, 946700, 993033]","101170(сем[1, 2],51ст); 106125(сем[3, 4],33ст); 108565(сем[5, 6],24ст); 109595(сем[7, 8],19ст); 109784(сем[1, 2],29ст); 241091(сем[5, 6],21ст); 285808(сем[1, 2],52ст); 286473(сем[1, 2],30ст); 355314(сем[3, 4],30ст); 391130(сем[3, 4],26ст); 399647(сем[3, 4],23ст); 509454(сем[1, 2],33ст); 512237(сем[5, 6],21ст); 545583(сем[1, 2],61ст); 681530(сем[3, 4],32ст); 740926(сем[5, 6],23ст); 798250(сем[7, 8],22ст); 816581(сем[3, 4],49ст); 865743(сем[7, 8],20ст); 922325(сем[5, 6],20ст); 946700(сем[7, 8],24ст); 993033(сем[5, 6],28ст)"
1,09.03.02 ИСиТ,Бакалавриат,24,412,72,"[107783, 121807, 194036, 197638, 203834, 234310, 240628, 245695, 259056, 333925, 359354, 393774, 408998, 432663, 465976, 505260, 597442, 626488, 649613, 705999, 855809, 886238, 970411, 984844]","107783(сем[1, 2],29ст); 121807(сем[7, 8],10ст); 194036(сем[3, 4],25ст); 197638(сем[5, 6],18ст); 203834(сем[7, 8],21ст); 234310(сем[3, 4],27ст); 240628(сем[3, 4],24ст); 245695(сем[7, 8],16ст); 259056(сем[1, 2],58ст); 333925(сем[3, 4],29ст); 359354(сем[1, 2],28ст); 393774(сем[7, 8],20ст); 408998(сем[7, 8],22ст); 432663(сем[5, 6],18ст); 465976(сем[5, 6],23ст); 505260(сем[5, 6],24ст); 597442(сем[7, 8],15ст); 626488(сем[1, 2],45ст); 649613(сем[5, 6],24ст); 705999(сем[5, 6],16ст); 855809(сем[3, 4],23ст); 886238(сем[1, 2],39ст); 970411(сем[3, 4],31ст); 984844(сем[1, 2],28ст)"
15,45.03.02 Лингвистика (перевод),Бакалавриат,8,343,47,"[155394, 229999, 402984, 552991, 770886, 813896, 891992, 944085]","155394(сем[5, 6],69ст); 229999(сем[1, 2],73ст); 402984(сем[7, 8],44ст); 552991(сем[3, 4],72ст); 770886(сем[5, 6],64ст); 813896(сем[3, 4],65ст); 891992(сем[7, 8],59ст); 944085(сем[1, 2],86ст)"
9,38.05.01 Экономическая безопасность (спец.),Специалитет,10,318,68,"[160940, 200632, 359233, 394472, 635382, 695734, 785449, 795263, 838867, 866561]","160940(сем[7, 8],54ст); 200632(сем[1, 2],68ст); 359233(сем[9, 10],56ст); 394472(сем[3, 4],41ст); 635382(сем[5, 6],36ст); 695734(сем[5, 6],56ст); 785449(сем[1, 2],29ст); 795263(сем[9, 10],68ст); 838867(сем[7, 8],55ст); 866561(сем[3, 4],28ст)"
2,03.03.02 Физика / Радиофизика,Бакалавриат,23,275,127,"[107454, 109146, 151502, 246312, 301418, 365116, 369407, 384649, 403443, 407883, 462013, 469382, 481679, 510406, 510458, 696107, 708273, 756047, 835040, 916867, 947168, 975516, 977009]","107454(сем[5, 6],16ст); 109146(сем[3, 4],25ст); 151502(сем[3, 4],25ст); 246312(сем[3, 4],22ст); 301418(сем[5, 6],15ст); 365116(сем[1, 2],26ст); 369407(сем[1, 2],16ст); 384649(сем[5, 6],10ст); 403443(сем[1, 2],22ст); 407883(сем[1, 2],32ст); 462013(сем[7, 8],16ст); 469382(сем[5, 6],16ст); 481679(сем[7, 8],16ст); 510406(сем[7, 8],8ст); 510458(сем[7, 8],15ст); 696107(сем[3, 4],10ст); 708273(сем[7, 8],16ст); 756047(сем[1, 2],37ст); 835040(сем[5, 6],10ст); 916867(сем[1, 2],12ст); 947168(сем[3, 4],13ст); 975516(сем[3, 4],19ст); 977009(сем[5, 6],21ст)"
4,41.03.04 Политология,Бакалавриат,21,267,75,"[184686, 189248, 226672, 305874, 310615, 354151, 436553, 490326, 512292, 513317, 520661, 549668, 570145, 611529, 642038, 667858, 685999, 723813, 884184, 891801, 906797]","184686(сем[3, 4],30ст); 189248(сем[5, 6],13ст); 226672(сем[1, 2],22ст); 305874(сем[5, 6],10ст); 310615(сем[7, 8],10ст); 354151(сем[1, 2],43ст); 436553(сем[5, 6],15ст); 490326(сем[5, 6],15ст); 512292(сем[3, 4],16ст); 513317(сем[7, 8],14ст); 520661(сем[3, 4],17ст); 549668(сем[3, 4],17ст); 570145(сем[3, 4],16ст); 611529(сем[7, 8],20ст); 642038(сем[3, 4],17ст); 667858(сем[1, 2],25ст); 685999(сем[1, 2],38ст); 723813(сем[1, 2],21ст); 884184(сем[5, 6],15ст); 891801(сем[1, 2],21ст); 906797(сем[5, 6],20ст)"
8,40.03.01 Юриспруденция,Специалитет,10,212,85,"[240842, 335398, 349486, 373177, 401717, 519940, 606792, 751787, 923124, 976880]","240842(сем[3, 4],20ст); 335398(сем[1, 2],21ст); 349486(сем[9, 10],49ст); 373177(сем[1, 2],26ст); 401717(сем[5, 6],25ст); 519940(сем[3, 4],27ст); 606792(сем[7, 8],50ст); 751787(сем[9, 10],50ст); 923124(сем[5, 6],40ст); 976880(сем[7, 8],39ст)"
5,10.05.01 Компьютерная безопасность (спец.),Специалитет,13,183,98,"[123279, 145897, 218962, 353422, 537884, 544153, 544662, 553150, 568222, 622180, 656328, 751263, 870377]","123279(сем[7, 8],22ст); 145897(сем[1, 2],30ст); 218962(сем[9, 10],22ст); 353422(сем[1, 2],24ст); 537884(сем[9, 10],22ст); 544153(сем[7, 8],22ст); 544662(сем[3, 4],30ст); 553150(сем[5, 6],23ст); 568222(сем[1, 2],20ст); 622180(сем[3, 4],20ст); 656328(сем[5, 6],30ст); 751263(сем[3, 4],8ст); 870377(сем[1, 2],11ст)"
6,38.03.01 Экономика,Бакалавриат,12,162,60,"[398300, 428774, 444125, 450401, 514957, 552193, 583191, 636320, 686387, 783065, 852336, 862144]","398300(сем[7, 8],24ст); 428774(сем[1, 2],12ст); 444125(сем[3, 4],18ст); 450401(сем[3, 4],41ст); 514957(сем[1, 2],25ст); 552193(сем[3, 4],38ст); 583191(сем[7, 8],30ст); 636320(сем[5, 6],29ст); 686387(сем[1, 2],22ст); 783065(сем[5, 6],19ст); 852336(сем[5, 6],28ст); 862144(сем[3, 4],28ст)"
